序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,高雄市,左營區,左營,2017/06/29,"風速 WIND_SPEED (m/sec)",1.7,1.2,1.3,1.3,1.2,1.8,1.4,2.4,2,3,2.7,3.5,3.5,3.4,2.8,2.5,2.6,1.8,0.9,1.1,1.8,0.5,1.2,1.2
30,高雄市,左營區,左營,2017/06/29,"溫度 AMB_TEMP (℃)",30,30,29,29,28,28,29,30,31,32,32,32,32,32,32,32,29,28,28,28,28,28,29,29
31,高雄市,左營區,左營,2017/06/29,"總碳氫化合物 THC (ppm)",2,2,2,2.2,2.2,2.4,2.2,2.1,2,2,2,1.9,1.8,1.8,1.8,1.8,1.8,2.2,2.2,2.1,2.1,2,2.2,2
32,高雄市,左營區,左營,2017/06/29,"小時風速值 WS_HR (m/sec)",1.7,1.7,0.7,1.1,1,1.1,1.2,1.6,0.9,2.1,2.9,3.2,3.4,3.4,2.8,2.4,2.4,1.1,0.9,1.1,1.5,0.5,0.6,1.1
33,高雄市,左營區,左營,2017/06/29,"小時風向值 WD_HR (degrees)",58,47,64,37,23,30,34,43,360,296,299,299,288,284,274,273,28,187,40,38,24,21,61,120
34,高雄市,左營區,左營,2017/06/29,"二氧化硫 SO2 (ppb)",2.9,4.6,3.4,3.2,5.3,7.2,5.4,3,3.5,4.7,4.8,8.1,9.3,3.4,4.2,3,2.1,3.3,5,3.3,2.8,3.6,5.5,4.7
35,高雄市,左營區,左營,2017/06/28,"氮氧化物 NOx (ppb)",5.9,7,8.9,12,12,12,16,12,17,12,8.3,6.8,6.2,5.1,6,5.4,4.6,8.5,8.4,8.8,8.8,12,16,23
36,高雄市,左營區,左營,2017/06/28,"風向 WIND_DIREC (degrees)",345,338,48,12,334,335,360,306,315,308,297,297,286,286,289,288,298,296,309,316,344,20,24,44
37,高雄市,左營區,左營,2017/06/28,"臭氧 O3 (ppb)",16,16,11,7.3,11,11,13,21,22,25,28,33,30,26,23,20,17,16,14,14,16,12,9.8,4.6
38,高雄市,左營區,左營,2017/06/28,"細懸浮微粒 PM 2.5  (μg/m 3 )",6,7,7,13,8,13,14,10,13,8,16,6,8,6,11,2,1,,13,10,1,4,2,15
39,高雄市,左營區,左營,2017/06/28,"非甲烷碳氫化合物 NMHC (ppm)",0.01,0.01,0.08,0.19,0.1,0.11,0.2,0.09,0.07,0.01,0,0,0,-0.01,0.01,0,0,0.01,0.01,0,0.01,0.11,0.16,0.21
40,高雄市,左營區,左營,2017/06/28,"一氧化碳 CO (ppm)",0.09,0.08,0.15,0.18,0.16,0.2,0.31,0.21,0.21,0.1,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.11,0.11,0.1,0.13,0.29,0.35,0.45
41,高雄市,左營區,左營,2017/06/28,"一氧化氮 NO (ppb)",0.7,0.6,0.6,0.6,1,1.3,2.8,2.7,4.4,3.7,2.2,1.5,1.6,1.6,1.7,1.7,1.2,2.2,1.6,1.3,1.4,1.2,1.3,1.5
42,高雄市,左營區,左營,2017/06/28,"二氧化氮 NO2 (ppb)",5.2,6.4,8.3,12,11,11,13,8.9,13,8,6.2,5.3,4.6,3.6,4.3,3.8,3.4,6.2,6.8,7.5,7.4,10,14,22
43,高雄市,左營區,左營,2017/06/28,"相對濕度 RH (percent)",80,80,80,82,82,82,83,79,75,70,68,68,68,68,69,68,70,70,71,73,76,75,74,72
44,高雄市,左營區,左營,2017/06/28,"懸浮微粒 PM 10  (μg/m 3 )",20,18,28,27,33,35,41,37,37,28,29,25,26,23,19,20,14,15,24,20,13,20,28,40
45,高雄市,左營區,左營,2017/06/28,"甲烷 CH4 (ppm)",1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9
46,高雄市,左營區,左營,2017/06/28,"風速 WIND_SPEED (m/sec)",1.4,1.1,1.5,1.4,1.4,0.8,1.6,1.2,2.5,3.9,3.6,4.2,4.3,4.9,4.8,4.2,2.5,2,2.6,2.3,1.7,0.7,0.8,1.6
47,高雄市,左營區,左營,2017/06/28,"溫度 AMB_TEMP (℃)",29,29,29,29,29,29,29,29,30,31,32,32,32,32,32,32,31,31,30,30,30,30,30,30
48,高雄市,左營區,左營,2017/06/28,"總碳氫化合物 THC (ppm)",1.8,1.8,1.9,2.1,2,2,2.1,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.9,2,2.1
49,高雄市,左營區,左營,2017/06/28,"小時風速值 WS_HR (m/sec)",0.7,0.8,1,0.8,0.7,0.7,0.9,1.2,1.9,3.2,3.2,3.3,3.8,4.2,4.3,3.7,3,1.9,2.2,2.5,1.2,0.5,0.6,0.9
50,高雄市,左營區,左營,2017/06/28,"小時風向值 WD_HR (degrees)",359,345,25,2.7,358,2.7,11,311,302,306,300,293,290,296,288,289,302,308,307,308,329,12,28,38
51,高雄市,左營區,左營,2017/06/28,"二氧化硫 SO2 (ppb)",2.5,3.3,2.5,2.6,2.6,3.5,3.7,3,4.6,4.4,2.8,2.8,2.9,1.9,1.7,1.7,1.2,1.8,1.8,2.7,1.9,3,3.3,3.8
52,高雄市,左營區,左營,2017/06/27,"氮氧化物 NOx (ppb)",4.7,5.1,9.1,9.7,9.9,10,12,14,9.1,7.6,6.6,5.6,6.1,6.8,5.8,6.1,,8.7,7.7,5.2,7.4,9.8,11,9.2
53,高雄市,左營區,左營,2017/06/27,"風向 WIND_DIREC (degrees)",288,300,285,279,339,49,318,309,287,282,282,284,295,292,300,305,302,296,306,332,308,330,312,1.7
54,高雄市,左營區,左營,2017/06/27,"臭氧 O3 (ppb)",15,13,10,8.2,7.5,8.5,12,13,16,21,22,24,24,25,23,20,,17,16,19,16,14,12,14
55,高雄市,左營區,左營,2017/06/27,"細懸浮微粒 PM 2.5  (μg/m 3 )",3,1,11,5,9,5,8,13,18,19,17,9,9,8,4,7,,,14,8,8,4,10,5
56,高雄市,左營區,左營,2017/06/27,"非甲烷碳氫化合物 NMHC (ppm)",0.07,0.03,0.04,0.05,0.13,0.07,0.12,0.05,0.18,0.06,0.01,0.01,0,0.01,0.01,0,,0,0,0.01,0.01,0.01,0.01,0.01
57,高雄市,左營區,左營,2017/06/27,"一氧化碳 CO (ppm)",0.08,0.07,0.07,0.07,0.08,0.13,0.18,0.14,0.12,0.09,0.1,0.09,0.08,0.08,0.08,0.07,,0.1,0.09,0.11,0.13,0.11,0.1,0.09
58,高雄市,左營區,左營,2017/06/27,"一氧化氮 NO (ppb)",0.8,1,1.1,1.4,0.8,1,2.2,4.8,2.4,2,1.9,1.4,1.7,1.9,1.9,2,,1.4,1.2,0.4,0.3,0.7,0.7,1
59,高雄市,左營區,左營,2017/06/27,"二氧化氮 NO2 (ppb)",3.9,4.1,7.9,8.3,9.1,9.5,9.8,9.3,6.8,5.6,4.8,4.2,4.4,4.9,3.9,4.1,,7.3,6.5,4.8,7.1,9.1,10,8.1
60,高雄市,左營區,左營,2017/06/27,"相對濕度 RH (percent)",79,80,81,81,81,80,80,76,73,70,69,69,69,69,69,69,71,74,76,78,78,78,79,80
61,高雄市,左營區,左營,2017/06/27,"懸浮微粒 PM 10  (μg/m 3 )",27,30,33,29,28,29,31,36,27,35,26,26,17,25,30,34,,15,22,26,33,31,27,16
62,高雄市,左營區,左營,2017/06/27,"甲烷 CH4 (ppm)",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,,1.7,1.7,1.7,1.8,1.8,1.8,1.8
63,高雄市,左營區,左營,2017/06/27,"風速 WIND_SPEED (m/sec)",1.9,1.6,0.9,1.2,1.2,1.3,1.2,1.8,2.4,2.6,3.7,3.8,4.3,4.7,4.7,4.5,4.4,4.1,3,1.5,1.1,1.5,1.6,1.9
64,高雄市,左營區,左營,2017/06/27,"溫度 AMB_TEMP (℃)",29,29,29,29,29,29,30,30,31,31,32,32,32,32,32,32,31,30,30,30,30,30,29,29
65,高雄市,左營區,左營,2017/06/27,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,1.9,1.9,2,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,1.7,1.7,1.8,1.8,1.8,1.8,1.8
